name,vendor,kcal_per_ml,protein_g_per_100ml,fiber_g_per_100ml,osmolality_mOsmL,notes
エレンタール®,味の素,1.0,4.0,0.0,700,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
エレンタールP®,味の素,1.0,4.0,0.0,720,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
パンゲノール®,味の素,1.0,3.8,0.0,650,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ヘパンED®,EAファーマ,1.0,4.2,0.0,680,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 成分栄養剤（肝疾患用の例）。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治メイバランス1.0®,明治,1.0,4.0,1.5,300,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治メイバランス1.5®,明治,1.5,6.0,2.0,380,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治メイバランス2.0®,明治,2.0,6.8,2.5,550,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治メイバランスHP1.0®,明治,1.0,6.0,1.5,320,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治メイバランスHP1.5®,明治,1.5,9.0,2.0,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治メイバランスR(YELLOW)®,明治,1.5,6.0,2.0,360,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治メイバランスR(GREEN)®,明治,1.5,6.0,2.0,360,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治メイバランスR(BLUE)®,明治,1.5,6.0,2.0,360,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治メイバランスMini®,明治,2.0,7.5,3.0,600,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治メイン®,明治,1.5,6.5,2.0,420,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治インスロー®,明治,1.0,4.2,1.2,280,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治リーナレンLP®,明治,1.5,3.5,1.5,350,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治リーナレンMP®,明治,2.0,5.0,2.0,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治メイグット300K®,明治,1.2,4.5,0.0,350,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治メイグット400K®,明治,1.6,6.0,0.0,420,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治メイフロー300K®,明治,1.2,4.5,0.0,340,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治メイフロー400K®,明治,1.6,6.0,0.0,410,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
